id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Rust Belt Sundown,Harlan & Ivy,folk,nostalgic,0.31,84,0.42,0.35,0.88
12,Neon Fists,Riot Kilo,metal,aggressive,0.96,168,0.28,0.44,0.03
13,Velvet Static,Cassette Bloom,r&b,romantic,0.58,92,0.68,0.71,0.30
14,Island Wind,Solar Tide,reggae,relaxed,0.48,86,0.74,0.69,0.42
15,Marble Halls,Elias Voss,classical,triumphant,0.70,126,0.66,0.25,0.95
16,After the Rain,Harlan & Ivy,folk,melancholic,0.26,68,0.30,0.29,0.91
17,Warehouse 3AM,Kilotronic,edm,euphoric,0.88,128,0.83,0.85,0.04
18,Dust Roads,June Carverly,country,nostalgic,0.44,100,0.52,0.48,0.67
19,Glass Ceiling,Riot Kilo,metal,intense,0.94,150,0.35,0.52,0.02
20,Tidepool Dreaming,Solar Tide,ambient,dreamy,0.22,58,0.61,0.30,0.85
